62,The Lord of the Rings: The Fellowship of the Ring,12/19/2001,178,PG-13,A meek Hobbit from the Shire and the eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Standard
63,The Lord of the Rings: The Two Towers,12/18/2002,179,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Standard
64,The Lord of the Rings: The Return of the King,12/17/2003,201,PG-13,Gandalf and Aragorn lead the World of Men against Sauron’s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Standard
65,National Lampoon’s Vacation,07/29/1983,98,R,The Griswold family’s cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,Standard
66,National Lampoon’s Christmas Vacation,12/01/1989,97,PG-13,The Griswold family’s plans for a big family Christmas predictably turn into a big disaster.,Standard
67,Observe and Report,04/10/2009,86,R,"Bi-polar mall security guard Ronnie Barnhardt is called into action to stop a flasher from turning shopper's paradise into his personal peep show. But when Barnhardt can't bring the culprit to justice, a surly police detective is recruited to close the case.",Standard
68,Project X,03/02/2012,88,R,"3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",Standard
69,School of Rock,10/03/2003,109,PG-13,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.",Standard
70,Big Daddy,06/25/1999,93,PG-13,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",Standard
71,50 First Dates,02/13/2004,99,PG-13,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,Standard
72,I Now Pronounce You Chuck & Larry,07/20/2007,115,PG-13,"Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits.",Standard
73,Grown Ups,06/25/2010,102,PG-13,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Standard
74,Grown Ups 2,07/12/2013,101,PG-13,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you.",Standard
75,Get Shorty,10/20/1995,105,R,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",Standard
76,Lost in Translation,10/03/2003,102,R,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,Standard
77,Weekend at Bernie’s,07/05/1989,97,PG-13,"Two losers try to pretend that their murdered employer is really alive, leading the hitman to attempt to track him down to finish him off.",Standard
